event_date_id,user_id,total_deposits
20200704,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,7
20201216,fr8N/dFuNmWa4klcveBXOUZ4gA9wHMq6ttdRyhi7lAs=,17
20201216,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,84
20200705,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,28
20201217,RULYeYRgLnQOcFJTP3S1JTV9ky79xVOhc7KE6T2/yCI=,9
20201217,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,77
20211201,NbuvBkG3RB9i8+oH88FczePaG4e8N2G5qkNGJgqoKto=,9
20211201,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,80
20200706,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,21
20201218,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,91
20211202,NbuvBkG3RB9i8+oH88FczePaG4e8N2G5qkNGJgqoKto=,8
20211202,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,69
20211202,6QdqQrmfZYzd8BCAeD84BSGeNwIW9oON49xtWf47YjQ=,13
20220418,xGy0SVm+6ggtXwIsF+bWgQVSx2AuqUGnIMW5TXkHdr4=,36
20220418,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,42
20200707,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,70
20201219,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,7
20211203,NbuvBkG3RB9i8+oH88FczePaG4e8N2G5qkNGJgqoKto=,6
20211203,cAel3asToVlnysbFF3xRu0czmghA2DOxIavWOYNmTsI=,8
20211203,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,21
20200708,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,70
20220420,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,56
20200709,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,205
20200709,ZyzHwYt4AoJIbysNSK/UME+YueFcXpDJf/LgcrD2a2U=,8
20201221,xGy0SVm+6ggtXwIsF+bWgQVSx2AuqUGnIMW5TXkHdr4=,13
20201221,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,120
20220421,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,84
20200710,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,180
20200710,mKAVNSnNJ5fruUCWYpfaIeuuPBY76A8mZ+tg06bST04=,6
20201222,U3I4aQhSOD9RCvTKsW7azUINqwjVvxKC4zxkxDwoFVc=,13
20201222,pCxwKWeKmhisj+eVBq2nMf3xpKYHjVIIpnypRVVhiJg=,17
20201222,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,67
20211206,xGy0SVm+6ggtXwIsF+bWgQVSx2AuqUGnIMW5TXkHdr4=,38
20211206,27uNY3pEXdse37GPh20xGjPxugo0go58OC+ppkIeahM=,16
20211206,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,31
20220422,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,21
20200711,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,42
20201223,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,35
20211207,u6DbrMJ6V6DqKWnAdS1qovcsP3M32oPqLMnjb+Xp2OQ=,26
20211207,QdxfGQMIPMnSLIdo8YIWh6v9iXtY35JfGke8YJ1ckqs=,20
20211207,h0h1f/cKtIIJO2SFJ/xjyvLqniQ2ESPksEvVCBZ6ViQ=,25
20211207,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,67
20200712,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,42
20201224,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,42
20211208,zluzK+yqGBRvBqwVmKdYJy7GPmlmtNAwF/J1u2yV6JI=,15
20211208,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,28
20200713,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,91
20201225,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,7
20211209,qL5NQQ3oRdxOrgtokwXdRWaqWOmuXIfEvjKwOdSVDLQ=,6
20211209,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,38
20220425,xGy0SVm+6ggtXwIsF+bWgQVSx2AuqUGnIMW5TXkHdr4=,36
20220425,Uge41HyQZsHEEzvsOyZ6Zecx97o+KfDNoqFSm3F0Btk=,9
20220425,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,70
20200714,mwRNIqXMIpjSOelwaAAg6To7wq6IVcsl+2yy2GpS5Hs=,10
20200714,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,77
20201226,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,7
20211210,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,14
20220426,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,21
20200715,9L4UeG1obMeTzR47GRI4KIC/r86ts5xXtg+IJMVAdkY=,14
20200715,mwRNIqXMIpjSOelwaAAg6To7wq6IVcsl+2yy2GpS5Hs=,7
20200715,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,98
20211211,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,28
20220427,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,119
20200716,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,56
20201228,xGy0SVm+6ggtXwIsF+bWgQVSx2AuqUGnIMW5TXkHdr4=,14
20201228,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,21
20211212,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,21
20220428,XbUx/GoRl1hJlgnjTbr4vGBEOeC7FFtXbubXVoZW6dg=,102
20220428,4axJ7wOlJiLUkcI+mA1pAsDPZxt04uOO4Jd/7B/3is4=,49
20220428,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,35
20200717,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,269
20201229,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,7
20210701,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,77
20211213,Uge41HyQZsHEEzvsOyZ6Zecx97o+KfDNoqFSm3F0Btk=,8
20211213,EKiJKaMbi1DwecZbl/ctHwxBWP2Gd8WJt96tbffvA5A=,6
20211213,h0h1f/cKtIIJO2SFJ/xjyvLqniQ2ESPksEvVCBZ6ViQ=,7
20211213,FNGvlC/JSWZTfrMH6hsWuUjsXKdE5uZNmPhRGhJ7aA8=,7
20211213,qX2Ud5t/dUJOZc3Q0qONBDNnGtS98eRo9fR/2nZgZg8=,10
20211213,xGy0SVm+6ggtXwIsF+bWgQVSx2AuqUGnIMW5TXkHdr4=,19
20211213,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,49
20220429,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,49
20200718,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,21
20201230,Jih2SnZyc4zedd9iuQbqffrCMxNUKudZ4eCIGUpuPH0=,17
20201230,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,21
20210702,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,21
20211214,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,63
20200207,JVqCVn3xnsuxpx0r+qAtBYD4YQPWB7+3wReeH8lsXaY=,14
20210703,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,7
20211215,qX2Ud5t/dUJOZc3Q0qONBDNnGtS98eRo9fR/2nZgZg8=,6
20211215,FNGvlC/JSWZTfrMH6hsWuUjsXKdE5uZNmPhRGhJ7aA8=,6
20211215,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,35
20200720,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,63
20211216,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,43
20200721,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,63
20210705,xGy0SVm+6ggtXwIsF+bWgQVSx2AuqUGnIMW5TXkHdr4=,26
20210705,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,49
20200210,0QX5Gh9VXRgOC+DB494ig/npG5gNs/seMwXf3MSWMo4=,8
20200722,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,149
20210706,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,42
20210706,t/n1dXiiz8A2sgLcu1yjP9PIXNmT/H7ko+sdvLK7QGk=,6
20200211,0QX5Gh9VXRgOC+DB494ig/npG5gNs/seMwXf3MSWMo4=,27
20200723,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,77
20210707,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,77
20200212,0QX5Gh9VXRgOC+DB494ig/npG5gNs/seMwXf3MSWMo4=,17
20200724,OIUBKGKr1pUganixxG3fxRIXI0KC4BLwmXsveujJlNk=,12
20200724,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,133
20210708,F+t38/uNnJtZRJsqWTxFPhbWhsXYT7kHoRPaSjV34NA=,10
20210708,euoQz1gSwmYrQWufcT4VJdroONYUoJWccsKrz8blFXQ=,17
20210708,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,42
20211220,5XwHGCrkGUcPo27sQJK7nRJJzKww+Kp7Yh6gOnGSLGA=,29
20211220,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,38
20200725,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,7
20210709,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,49
20211221,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,42
20200726,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,14
20211222,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,7
20200727,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,112
20210711,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,7
20200728,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,56
20210712,X8ftEOughS3pVbI8Rl/tlyJEX2tRZsrdvwf7Q8KDEd0=,12
20210712,xGy0SVm+6ggtXwIsF+bWgQVSx2AuqUGnIMW5TXkHdr4=,14
20210712,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,70
20210712,YIINLI7mmOzjfegur0Zph0jM9Cqe3VPpv3xdX5k7ZqY=,26
20200217,sgz+z9K2zwJGTFE3zkU15WVjLN2ieNkct/xZLX6RSWk=,14
20200729,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,133
20210201,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,7
20210713,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,14
20200218,U8KlUkt0FTV/Pu3azb5H+I+r22nNiZKEzukgLqLsyJI=,14
20200730,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,91
20210202,zpHdmAslH18SOf/0L1pSe6K+hnwTVH3an4u+6fUXx9A=,11
20210202,R8KS/R58NP73yBzlHxxUqCiWbCVTIk3dkSE2ESqpQ/0=,13
20210714,ZqGTaBarPJkvyzJFeakUpFOc7x1a9rJ7dxLcYFOz2OU=,15
20210714,YIINLI7mmOzjfegur0Zph0jM9Cqe3VPpv3xdX5k7ZqY=,22
20210714,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,49
20200731,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,77
20210203,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,14
20210715,YIINLI7mmOzjfegur0Zph0jM9Cqe3VPpv3xdX5k7ZqY=,10
20210715,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,49
20210204,xGy0SVm+6ggtXwIsF+bWgQVSx2AuqUGnIMW5TXkHdr4=,13
20210204,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,112
20210716,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,42
20211228,ZOXgm+qTeocRlT+WKt8Ar8usdvOs0r1xJK8fv9M501Y=,28
20211228,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,7
20210205,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,49
20211229,xGy0SVm+6ggtXwIsF+bWgQVSx2AuqUGnIMW5TXkHdr4=,13
20211229,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,28
20211229,hbjBMA6wa0pREFsCQD78jusbqdZAMglSBUEkhzaBrzc=,8
20220701,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,98
20211230,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,42
20210207,nveSQ+UP25+n6QzJ3q0PtO+FZ0C8cAcfhEHkRCJm2Zc=,14
20210719,7hISEWP0xMUnNZwdke1gNvnZ+qCAQD+CnB24LlDu/tA=,7
20210719,xGy0SVm+6ggtXwIsF+bWgQVSx2AuqUGnIMW5TXkHdr4=,14
20210719,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,49
20210208,xGy0SVm+6ggtXwIsF+bWgQVSx2AuqUGnIMW5TXkHdr4=,10
20210208,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,35
20210720,YIINLI7mmOzjfegur0Zph0jM9Cqe3VPpv3xdX5k7ZqY=,19
20210720,+qtLf6Tmc0mGU3785EAwIM15hIBVqmATC5KuguR2O8w=,63
20220704,xGy0SVm+6ggtXwIsF+bWgQVSx2AuqUGnIMW5TXkHdr4=,86
20220704,OIUBKGKr1pUganixxG3fxRIXI0KC4BLwmXsveujJlNk=,6
20220704,FNGvlC/JSWZTfrMH6hsWuUjsXKdE5uZNmPhRGhJ7aA8=,8
20220704,B+v2oJbs5qHW42PRsSSOPev2yGcAlRaAwIve5cww3F8=,8
20220704,iVC+Ww1rFyOpZQMZ7rvkNigtRTLtvpZsPu2Rfjyj1vA=,6
20220704,1MfnW99QPyHZJZS4XQZG9N7QTut9XXQzYTFSWlShVuc=,6
