event_date_id,num_currencies
20230821,1
20221126,20
20221125,25
20221124,19
20221123,56
20221122,1
20221121,46
20221118,1
20221117,4
20221116,1
20221115,2
20221114,46
20221113,39
20221112,30
20221111,36
20221110,45
20221109,35
20221108,35
20221107,47
20221106,9
20221105,10
20221104,35
20221103,46
20221102,46
20221101,46
20221031,47
20221030,7
20221029,7
20221028,7
20221027,6
20221026,4
20221025,4
20221024,46
20221023,2
20221022,5
20221021,4
20221020,5
20221019,5
20221018,11
20221017,46
20221016,30
20221015,28
20221014,28
20221013,35
20221012,32
20221011,32
20221010,45
20221007,28
20221006,30
20221005,31
20221004,27
20221003,45
20221002,29
20221001,29
20220930,28
20220929,29
20220928,32
20220927,33
20220926,45
20220925,27
20220924,29
20220923,26
20220922,3
20220921,4
20220920,29
20220919,45
20220918,27
20220917,25
20220916,28
20220915,24
20220914,25
20220913,28
20220912,45
20220909,2
20220908,26
20220907,24
20220906,31
20220905,45
20220904,27
20220903,25
20220902,28
20220901,27
20220831,30
20220830,26
20220829,45
20220826,9
20220825,12
20220824,21
20220823,19
20220822,45
20220820,1
20220819,11
20220818,17
20220817,17
20220816,11
20220815,45
20220812,2
20220811,52
20220810,17
20220809,45
20220808,23
20220807,26
20220806,29
20220805,3
20220804,2
20220803,5
20220802,45
20220801,2
20220729,4
20220728,2
20220727,3
20220726,3
20220725,43
20220723,1
20220722,5
20220721,2
20220720,2
20220719,43
20220718,1
20220715,1
20220714,48
20220713,52
20220712,3
20220711,44
20220708,8
20220707,4
20220706,9
20220705,4
20220704,43
20220702,2
20220701,3
20220630,1
20220629,3
20220628,3
20220627,43
20220626,2
20220625,2
20220624,10
20220623,4
20220622,3
20220621,5
20220620,44
20220617,4
20220616,3
20220615,1
20220614,1
20220613,44
20220611,2
20220610,2
20220609,36
20220608,4
20220607,6
20220606,39
20220605,1
20220604,1
20220603,28
20220602,7
20220601,5
20220531,4
20220530,13
20220527,2
20220526,2
20220525,2
20220524,5
20220523,14
20220522,1
20220521,1
20220520,3
20220519,3
20220518,5
20220517,5
20220516,9
20220513,2
20220512,6
20220511,6
20220510,2
20220509,35
20220507,4
20220506,15
20220505,3
20220504,5
20220503,4
20220502,8
20220429,2
20220428,49
20220427,6
20220426,4
20220425,37
20220422,4
20220421,3
20220420,2
20220418,36
20220415,1
20220414,3
20220413,13
20220412,5
20220411,10
20220404,36
20220401,2
20220331,8
20220330,7
20220329,5
20220328,37
20220326,1
20220325,7
20220324,2
20220323,3
20220322,15
20220321,35
20220319,1
20220318,6
20220317,5
20220316,39
20220315,4
20220314,21
20220313,1
20220311,31
20220310,40
20220309,19
20220308,1
20220307,27
20220305,1
20220304,3
20220303,9
20220302,6
20220301,2
20220228,28
20220226,2
20220225,5
20220224,5
20220223,41
20220222,4
20220221,29
20220219,1
20220218,10
20220217,5
20220216,3
20220215,11
20220214,15
20220212,1
20220211,40
20220210,36
20220209,6
20220208,5
20220207,26
20220205,2
20220204,33
20220203,4
20220202,6
20220201,5
20220131,8
20220130,2
20220129,1
20220128,6
20220127,3
20220126,3
20220124,13
20220123,1
20220121,3
20220120,5
20220119,24
20220118,4
20220117,8
20220115,1
20220114,1
20220113,3
20220112,2
20220111,3
20220110,15
20220108,3
20220107,7
20220106,8
20220105,30
20220104,8
20220103,3
20211230,5
20211229,13
20211228,28
20211223,2
20211222,3
20211221,1
20211220,29
20211217,4
20211216,9
20211215,4
20211214,3
20211213,20
20211212,1
20211211,1
20211210,4
20211209,7
20211208,16
20211207,8
20211206,24
20211204,2
20211203,13
20211202,9
20211201,4
20211130,4
20211129,20
20211126,4
20211125,7
20211124,3
20211123,3
20211122,14
20211120,2
20211119,26
20211118,17
20211117,5
20211116,1
20211115,3
20211113,1
20211112,5
20211111,8
20211110,22
20211109,6
20211108,2
20211106,1
20211105,1
20211104,6
20211103,3
20211102,4
20211101,4
20211029,5
20211028,4
20211027,25
20211026,5
20211025,5
20211022,3
20211021,1
20211020,3
20211019,4
20211018,3
