calendar_id,calendar_date,day_of_week,is_first_date_of_month,is_last_date_of_month,is_first_date_of_quarter,is_last_date_of_quarter,is_first_date_of_year,is_last_date_of_year,is_weekday,fiscal_period_id,fiscal_week_id,is_historical_date,is_future_date,number_of_days_in_month
20200113,2020-01-13,1,false,false,false,false,false,false,true,202001,202003,true,false,31
20200125,2020-01-25,6,false,false,false,false,false,false,false,202001,202004,true,false,31
20200223,2020-02-23,7,false,false,false,false,false,false,false,202002,202008,true,false,29
20200303,2020-03-03,2,false,false,false,false,false,false,true,202003,202010,true,false,31
20200315,2020-03-15,7,false,false,false,false,false,false,false,202003,202011,true,false,31
20200503,2020-05-03,7,false,false,false,false,false,false,false,202005,202018,true,false,31
20200629,2020-06-29,1,false,false,false,false,false,false,true,202006,202027,true,false,30
20210116,2021-01-16,6,false,false,false,false,false,false,false,202101,202102,true,false,31
20210126,2021-01-26,2,false,false,false,false,false,false,true,202101,202104,true,false,31
20210404,2021-04-04,7,false,false,false,false,false,false,false,202104,202113,true,false,30
20210525,2021-05-25,2,false,false,false,false,false,false,true,202105,202121,true,false,31
20210809,2021-08-09,1,false,false,false,false,false,false,true,202108,202132,true,false,31
20210825,2021-08-25,3,false,false,false,false,false,false,true,202108,202134,true,false,31
20211015,2021-10-15,5,false,false,false,false,false,false,true,202110,202141,true,false,31
20211116,2021-11-16,2,false,false,false,false,false,false,true,202111,202146,true,false,30
20211211,2021-12-11,6,false,false,false,false,false,false,false,202112,202149,true,false,31
20220212,2022-02-12,6,false,false,false,false,false,false,false,202202,202206,true,false,28
20220328,2022-03-28,1,false,false,false,false,false,false,true,202203,202213,true,false,31
20220423,2022-04-23,6,false,false,false,false,false,false,false,202204,202216,true,false,30
20220502,2022-05-02,1,false,false,false,false,false,false,true,202205,202218,true,false,31
20220908,2022-09-08,4,false,false,false,false,false,false,true,202209,202236,true,false,30
20220911,2022-09-11,7,false,false,false,false,false,false,false,202209,202236,true,false,30
20221108,2022-11-08,2,false,false,false,false,false,false,true,202211,202245,true,false,30
20221109,2022-11-09,3,false,false,false,false,false,false,true,202211,202245,true,false,30
20230119,2023-01-19,4,false,false,false,false,false,false,true,202301,202303,true,false,31
20230306,2023-03-06,1,false,false,false,false,false,false,true,202303,202310,true,false,31
20230324,2023-03-24,5,false,false,false,false,false,false,true,202303,202312,true,false,31
20230520,2023-05-20,6,false,false,false,false,false,false,false,202305,202320,true,false,31
20230705,2023-07-05,3,false,false,false,false,false,false,true,202307,202327,true,false,31
20230727,2023-07-27,4,false,false,false,false,false,false,true,202307,202330,true,false,31
20230802,2023-08-02,3,false,false,false,false,false,false,true,202308,202331,true,false,31
20230812,2023-08-12,6,false,false,false,false,false,false,false,202308,202332,true,false,31
20230827,2023-08-27,7,false,false,false,false,false,false,false,202308,202334,true,false,31
20230905,2023-09-05,2,false,false,false,false,false,false,true,202309,202336,true,false,30
20240104,2024-01-04,4,false,false,false,false,false,false,true,202401,202401,true,false,31
20240209,2024-02-09,5,false,false,false,false,false,false,true,202402,202406,true,false,29
20240321,2024-03-21,4,false,false,false,false,false,false,true,202403,202412,true,false,31
20240508,2024-05-08,3,false,false,false,false,false,false,true,202405,202419,true,false,31
20240705,2024-07-05,5,false,false,false,false,false,false,true,202407,202427,true,false,31
20241228,2024-12-28,6,false,false,false,false,false,false,false,202412,202452,false,true,31
20250223,2025-02-23,7,false,false,false,false,false,false,false,202502,202508,false,true,28
20250404,2025-04-04,5,false,false,false,false,false,false,true,202504,202514,false,true,30
20250525,2025-05-25,7,false,false,false,false,false,false,false,202505,202521,false,true,31
20250721,2025-07-21,1,false,false,false,false,false,false,true,202507,202530,false,true,31
20250906,2025-09-06,6,false,false,false,false,false,false,false,202509,202536,false,true,30
20251031,2025-10-31,5,false,true,false,false,false,false,true,202510,202544,false,true,31
20260117,2026-01-17,6,false,false,false,false,false,false,false,202601,202603,false,true,31
20260704,2026-07-04,6,false,false,false,false,false,false,false,202607,202627,false,true,31
20260810,2026-08-10,1,false,false,false,false,false,false,true,202608,202633,false,true,31
20260823,2026-08-23,7,false,false,false,false,false,false,false,202608,202634,false,true,31
20260910,2026-09-10,4,false,false,false,false,false,false,true,202609,202637,false,true,30
20261030,2026-10-30,5,false,false,false,false,false,false,true,202610,202644,false,true,31
20261123,2026-11-23,1,false,false,false,false,false,false,true,202611,202648,false,true,30
20261204,2026-12-04,5,false,false,false,false,false,false,true,202612,202649,false,true,31
20261227,2026-12-27,7,false,false,false,false,false,false,false,202612,202652,false,true,31
20270115,2027-01-15,5,false,false,false,false,false,false,true,202701,202702,false,true,31
20270415,2027-04-15,4,false,false,false,false,false,false,true,202704,202715,false,true,30
20270422,2027-04-22,4,false,false,false,false,false,false,true,202704,202716,false,true,30
20270429,2027-04-29,4,false,false,false,false,false,false,true,202704,202717,false,true,30
20270707,2027-07-07,3,false,false,false,false,false,false,true,202707,202727,false,true,31
20270808,2027-08-08,7,false,false,false,false,false,false,false,202708,202731,false,true,31
20270821,2027-08-21,6,false,false,false,false,false,false,false,202708,202733,false,true,31
