withdrawal_id,source_system,source_id,user_id,amount,currency_id,interface_id,status,event_date_id,event_timestamp
StTseBr2b9sS5mMUztShwCTCTzYQ1EzxONNioCjE4Q8=,bitso,28962,++0+hbU1uMwJWemwxBP/ZEHnzulAIvAWjaFiH3cT16Y=,100,drEMKFCu3eRp/p32ayww7vNRcUgHBFuti26dI2jD164=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,complete,20210415,2021-04-15 19:57:55.575000 UTC
VKSLNo414UpwA+TlBCpScXsbNNsTD5l3zdJxnxYze0Y=,bitso,29564,++0+hbU1uMwJWemwxBP/ZEHnzulAIvAWjaFiH3cT16Y=,100,drEMKFCu3eRp/p32ayww7vNRcUgHBFuti26dI2jD164=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,complete,20210421,2021-04-21 22:24:51.657000 UTC
0kjoZIaDDZmHiOx6fkhu4d6cM4CHatdEGCCb8Xx0Nd4=,bitso,29566,++0+hbU1uMwJWemwxBP/ZEHnzulAIvAWjaFiH3cT16Y=,150,drEMKFCu3eRp/p32ayww7vNRcUgHBFuti26dI2jD164=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,complete,20210421,2021-04-21 22:26:37.175000 UTC
LHEJxySP7pAEv1asc+gEKGTUxQGypRqf1bggtHB7Gt4=,bitso,27189,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,1,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 04:50:04.878000 UTC
Jk4KgnuLdwTdwLhyLqsdFZ6MSvf/pwBUC/EYB7SCMFA=,bitso,27165,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,222,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 02:29:03.459000 UTC
b8ywTYoCp76gZSz5qoepFolrRkrObXcW2EpOYcqGNEE=,bitso,27196,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,1,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 05:33:23.310000 UTC
/sbffED4hUDSAqS4CHCOLwn/gUuyvL3HmblroUEXLbY=,bitso,27192,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,1,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 04:54:03.077000 UTC
4UH2zwG92uKNbQrhA1hKcCVgXxsX/qwr4o7xgCf77Hg=,bitso,27262,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,50,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,complete,20210325,2021-03-25 16:39:37.022000 UTC
Oy1ghhlI2J2y5R2jlpgblzGZady+qmDiH+iMN7Q8lbg=,bitso,27190,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,1,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 04:51:43.085000 UTC
DYN0wRrjqwNJ+4sxY9ardro4k7+UfH+31GxNjNOsDD0=,bitso,27188,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,20,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 04:48:39.205000 UTC
/tO0Pn0+67X75aP3o8hI5NGwPuSQ6XWL32Yh58hqFac=,bitso,27267,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,111,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,complete,20210325,2021-03-25 19:27:37.495000 UTC
Ml/JoMIa6DQH0NCysyN9g7GQ4/Ank8JbPgMfnnEhO+Q=,bitso,27185,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,222,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 03:46:16.866000 UTC
e4Qt06RMILEjEgSWyDV9cohrjsBiBfCrUimKyLSa1x0=,bitso,27198,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,50,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,complete,20210325,2021-03-25 05:39:19.919000 UTC
n2v8oOHmiRt4RD3FiyXQ9fABUKX58loXOMpoSYg+0Ng=,bitso,27187,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,55,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 04:45:21.993000 UTC
B9f6pAj5/ymCCFJ6ikL4QaM1CPhmQpVg5DwOOIiI48M=,bitso,27260,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,1,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 16:31:55.042000 UTC
bYdTlBl71P91FYr5GZm2sWE+4Lhn6S1qaGiMUb2TP2Q=,bitso,27197,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,1,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 05:37:46.264000 UTC
rhTdvspxj+yF/jMPqPUvFZzCHAiZC+KZP1T8shKGgXA=,bitso,27194,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,50,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,complete,20210325,2021-03-25 05:32:08.095000 UTC
WkfYtAcuSaBrkcr/xv72JilOQZV0V/4uWnH37s3xly0=,bitso,27254,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,1,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 16:30:59.915000 UTC
mahMvx4VtEp06VewNDClQ4Ar8OEloFXyXq5Pnath4Pw=,bitso,27166,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,222,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 02:32:09.558000 UTC
lFFz5Fr7BIkQWRX2q+aQTYwYlnFdPZNUUeiL/8ONHcQ=,bitso,27191,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,1,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 04:53:23.652000 UTC
0S91p3/gk0whvvn+B0uQ8LB3sDE00dC8AiOUKIOaLiU=,bitso,27249,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,1,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 15:55:39.778000 UTC
DGIjfyW3jztTOmntEIxTJGZF1W+XUxjpE26mCJfFglQ=,bitso,27195,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,1,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 05:32:37.351000 UTC
u7J+KHFOMCzRAWnmboxij7Anuoy4oVl8i61Uj/+X2sc=,bitso,27264,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,1,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 19:22:30.988000 UTC
ngVFIcHT4BklVhs5oPMZSA2NtcbiHyxucFypc6YXTJk=,bitso,27265,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,2,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 19:23:12.329000 UTC
F3qAPInP+xFBLUbm4Bl2fQ/n7z/Ycq3SKUgLTioBBVY=,bitso,27266,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,50,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,complete,20210325,2021-03-25 19:23:32.711000 UTC
FgX3X5H9O2OTEAf5aayEJgT3T46B1W0+Idk7D/n7iZQ=,bitso,27268,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,111,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,complete,20210325,2021-03-25 19:28:43.280000 UTC
z+FP/yfpEeJEAs0tUFeZ3s3e1/65E77WPhLRnDH10vg=,bitso,27193,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,1,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 05:07:31.368000 UTC
DAqGbSNuXw4VwaDuAWXOT7ZPPPmH3/LS3vKxDGRxkmQ=,bitso,27261,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,50,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,complete,20210325,2021-03-25 16:38:12.087000 UTC
gy+T6pz23FIUAeCFJnIfP7nVqBoI/edSdVxBObh0O1U=,bitso,27186,+0sSSQw1hrlRCW8yq41hRN6qSTolQ4IB7y691n44UMo=,333,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20210325,2021-03-25 04:38:12.695000 UTC
Kuw2lEGPNdicXcLkNydB8Hh5EO8ojTBCbpPZ10j2O4U=,bitso,3488,+LnwuJZcUUanvEay1Dr0s5/28DInmT7LtlvDvBEmuCc=,1000,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20200512,2020-05-12 18:04:07.710000 UTC
cGpwwfADJA+pq88aDUdhBkfX1Dhxmy9c1tVlBdyf/cU=,bitso,7703,+LnwuJZcUUanvEay1Dr0s5/28DInmT7LtlvDvBEmuCc=,50,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,complete,20200623,2020-06-23 22:19:18.272000 UTC
yqQ6q5knNXIEtiscB29xKjuidJCG/rbcprf5+qsvAeA=,bitso,7702,+LnwuJZcUUanvEay1Dr0s5/28DInmT7LtlvDvBEmuCc=,50,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,complete,20200623,2020-06-23 22:18:33.812000 UTC
aAres2DPsV2yGqkblpFBA9jM/UZKsWtBX0+8NY6vyzk=,bitso,7701,+LnwuJZcUUanvEay1Dr0s5/28DInmT7LtlvDvBEmuCc=,50,U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,S15X9usvQrkDmz0eE5KSlfIxdJxRDL40HNaANtmvl+I=,failed,20200623,2020-06-23 22:17:29.382000 UTC
hebf3Z+jyyX8ksK0AYwlUAg+kut5Syk3I/27lJNTn70=,bitso,98529,+O7DU/Brn6NjVVa4FomdZV7JqppYNFAcefE+MRBNdA8=,0.001,5AYF5qJiaKXrg8FV6l3RKuszFPa6XWfUtgfelRVuThI=,oXLO3K5HR0thXFTVEKXYSo3qMDLpWFh0MLQTU4vj8zM=,failed,20220812,2022-08-12 09:53:40.185000 UTC
S1Zjh7N7baNM4hrX60EJlD0Un4FXpckLR8r0j1V2Kkc=,bitso,56342,+O7DU/Brn6NjVVa4FomdZV7JqppYNFAcefE+MRBNdA8=,12,ULmYS9nrK4g3+XJmuBri+JIqAnLECBjfq//ba2YGahc=,oXLO3K5HR0thXFTVEKXYSo3qMDLpWFh0MLQTU4vj8zM=,complete,20220322,2022-03-22 13:00:17.624000 UTC
56BNyrbadH2aGNBPkTLyQjcIzIDNJf4pq5QF/wdRDfU=,bitso,41288,+O7DU/Brn6NjVVa4FomdZV7JqppYNFAcefE+MRBNdA8=,1,1g+9hxjs6393UcaLaV4z75dNDsyisb8gySjm0bmV8A4=,oXLO3K5HR0thXFTVEKXYSo3qMDLpWFh0MLQTU4vj8zM=,complete,20210616,2021-06-16 17:14:27.369000 UTC
do/DdXrKYQER6husfTw2F8SQ6W/yD0+DEC3bJJpw4/8=,bitso,41319,+O7DU/Brn6NjVVa4FomdZV7JqppYNFAcefE+MRBNdA8=,50,1g+9hxjs6393UcaLaV4z75dNDsyisb8gySjm0bmV8A4=,oXLO3K5HR0thXFTVEKXYSo3qMDLpWFh0MLQTU4vj8zM=,complete,20210616,2021-06-16 17:16:57.372000 UTC
0AiXQ0+wcG561c2371qz3zRQh526FPwhh78i6E99LCo=,bitso,41253,+O7DU/Brn6NjVVa4FomdZV7JqppYNFAcefE+MRBNdA8=,3,1g+9hxjs6393UcaLaV4z75dNDsyisb8gySjm0bmV8A4=,oXLO3K5HR0thXFTVEKXYSo3qMDLpWFh0MLQTU4vj8zM=,complete,20210616,2021-06-16 17:07:40.234000 UTC
rse3z/2mLCryW114ZQZS+4AFgqExC4oaWF+A3qTzgtk=,bitso,22538,+O7DU/Brn6NjVVa4FomdZV7JqppYNFAcefE+MRBNdA8=,0.005,5AYF5qJiaKXrg8FV6l3RKuszFPa6XWfUtgfelRVuThI=,oXLO3K5HR0thXFTVEKXYSo3qMDLpWFh0MLQTU4vj8zM=,complete,20210125,2021-01-25 11:58:35.232000 UTC
xpVy47rlNA1JSd643H8Xc4NFsGlIACSEGRJeGve5t+Q=,bitso,22703,+O7DU/Brn6NjVVa4FomdZV7JqppYNFAcefE+MRBNdA8=,0.00001,5AYF5qJiaKXrg8FV6l3RKuszFPa6XWfUtgfelRVuThI=,oXLO3K5HR0thXFTVEKXYSo3qMDLpWFh0MLQTU4vj8zM=,complete,20210126,2021-01-26 13:09:45.272000 UTC
