id,event_timestamp,user_id,amount,interface,currency,tx_status
56452,2022-03-23 16:52:31.141000 UTC,007ff380ee5ac49ffc34442f5c2a2b86,50,web,mxn,failed
27278,2021-03-25 20:47:30.689000 UTC,0197fcd95060131d9bc5e564f842ed53,1,web,ars,failed
27279,2021-03-25 20:54:54.212000 UTC,0197fcd95060131d9bc5e564f842ed53,3,web,ars,failed
27280,2021-03-25 20:57:02.720000 UTC,0197fcd95060131d9bc5e564f842ed53,2,web,ars,failed
27444,2021-03-29 16:14:51.633000 UTC,0197fcd95060131d9bc5e564f842ed53,1,web,ars,failed
27458,2021-03-29 19:59:44.922000 UTC,0197fcd95060131d9bc5e564f842ed53,2,web,ars,failed
27522,2021-03-29 21:34:32.689000 UTC,0197fcd95060131d9bc5e564f842ed53,1,web,ars,failed
27524,2021-03-29 21:35:28.482000 UTC,0197fcd95060131d9bc5e564f842ed53,2,web,ars,failed
27534,2021-03-29 21:36:34.740000 UTC,0197fcd95060131d9bc5e564f842ed53,3,web,ars,failed
27646,2021-03-30 19:29:26.407000 UTC,0197fcd95060131d9bc5e564f842ed53,2,web,ars,failed
27649,2021-03-30 20:27:16.554000 UTC,0197fcd95060131d9bc5e564f842ed53,2,web,ars,failed
28221,2021-04-08 19:10:32.949000 UTC,0197fcd95060131d9bc5e564f842ed53,1,web,ars,failed
30083,2021-05-06 23:11:05.143000 UTC,0197fcd95060131d9bc5e564f842ed53,51,web,mxn,failed
30102,2021-05-07 15:29:44.188000 UTC,0197fcd95060131d9bc5e564f842ed53,52,web,mxn,failed
30127,2021-05-07 19:48:49.350000 UTC,0197fcd95060131d9bc5e564f842ed53,53,web,mxn,failed
30369,2021-05-12 14:08:03.013000 UTC,0197fcd95060131d9bc5e564f842ed53,53,web,mxn,failed
30656,2021-05-19 15:00:10.397000 UTC,0197fcd95060131d9bc5e564f842ed53,54,web,mxn,failed
30657,2021-05-19 15:48:42.759000 UTC,0197fcd95060131d9bc5e564f842ed53,54,web,mxn,failed
30685,2021-05-19 18:18:55.526000 UTC,0197fcd95060131d9bc5e564f842ed53,56,web,mxn,failed
30696,2021-05-19 19:12:24.875000 UTC,0197fcd95060131d9bc5e564f842ed53,57,web,mxn,failed
30705,2021-05-19 20:04:36.710000 UTC,0197fcd95060131d9bc5e564f842ed53,58,web,mxn,failed
30738,2021-05-19 23:12:44.554000 UTC,0197fcd95060131d9bc5e564f842ed53,59,web,mxn,failed
30739,2021-05-20 00:09:59.150000 UTC,0197fcd95060131d9bc5e564f842ed53,60,web,mxn,failed
30748,2021-05-20 00:51:13.103000 UTC,0197fcd95060131d9bc5e564f842ed53,71,web,mxn,failed
44495,2021-07-14 22:20:57.980000 UTC,0197fcd95060131d9bc5e564f842ed53,56,web,mxn,failed
47275,2021-09-06 20:14:13.177000 UTC,0197fcd95060131d9bc5e564f842ed53,61,web,mxn,failed
47276,2021-09-06 20:16:50.330000 UTC,0197fcd95060131d9bc5e564f842ed53,62,web,mxn,failed
47294,2021-09-07 13:11:32.039000 UTC,0197fcd95060131d9bc5e564f842ed53,51,web,mxn,failed
47295,2021-09-07 13:44:40.578000 UTC,0197fcd95060131d9bc5e564f842ed53,51,web,mxn,failed
47296,2021-09-07 13:52:59.482000 UTC,0197fcd95060131d9bc5e564f842ed53,51,web,mxn,failed
48112,2021-09-27 17:00:00.493000 UTC,0197fcd95060131d9bc5e564f842ed53,500,app,mxn,failed
48156,2021-09-28 20:31:04.872000 UTC,0197fcd95060131d9bc5e564f842ed53,100,web,mxn,failed
48159,2021-09-28 20:38:26.052000 UTC,0197fcd95060131d9bc5e564f842ed53,103,web,mxn,failed
48160,2021-09-28 20:39:48.094000 UTC,0197fcd95060131d9bc5e564f842ed53,103,web,mxn,failed
48432,2021-10-06 19:22:13.807000 UTC,0197fcd95060131d9bc5e564f842ed53,301,web,mxn,failed
48436,2021-10-06 19:32:15.409000 UTC,0197fcd95060131d9bc5e564f842ed53,301,web,mxn,failed
48437,2021-10-06 20:21:29.112000 UTC,0197fcd95060131d9bc5e564f842ed53,301,web,mxn,failed
48467,2021-10-07 18:00:56.632000 UTC,0197fcd95060131d9bc5e564f842ed53,301,web,mxn,failed
48643,2021-10-12 20:15:40.973000 UTC,0197fcd95060131d9bc5e564f842ed53,301,web,mxn,failed
48652,2021-10-13 15:04:48.963000 UTC,0197fcd95060131d9bc5e564f842ed53,51,web,mxn,failed
48795,2021-10-15 16:02:59.551000 UTC,0197fcd95060131d9bc5e564f842ed53,301,web,mxn,failed
